"PC1","PC2","group","genotype","condition","time","name"
-12.5089248091206,-11.4893176832725,"WT:mock:0h","WT","mock","0h","DRR302386"
30.1678423948706,3.66945832930352,"WT:mock:0.5h","WT","mock","0.5h","DRR302389"
25.6541425273494,-1.31863799374202,"WT:mock:0.5h","WT","mock","0.5h","DRR302390"
44.4541042702965,14.869119552074,"WT:AvrRpm1:0.5h","WT","AvrRpm1","0.5h","DRR302397"
-19.9518234258925,24.9151724685949,"WT:AvrRpm1:3h","WT","AvrRpm1","3h","DRR302401"
-32.5744516205985,-2.22989719343761,"clf:mock:3h","clf","mock","3h","DRR302411"
43.3906734427548,-4.42637518566779,"clf:AvrRpm1:0.5h","clf","AvrRpm1","0.5h","DRR302415"
32.5616425913125,3.64950368554895,"WT:mock:0.5h","WT","mock","0.5h","DRR302388"
-16.8572000129085,32.275243687811,"WT:AvrRpm1:3h","WT","AvrRpm1","3h","DRR302400"
-29.1198140029421,-36.4089365896147,"clf:mock:0h","clf","mock","0h","DRR302405"
12.8001580126787,-27.763419913354,"clf:mock:0.5h","clf","mock","0.5h","DRR302407"
-28.927435763251,5.5010150632277,"clf:mock:3h","clf","mock","3h","DRR302410"
-10.5459244898965,-10.064630030459,"clf:AvrRpm1:0h","clf","AvrRpm1","0h","DRR302412"
-10.8520565690993,-3.55363762029799,"clf:AvrRpm1:0h","clf","AvrRpm1","0h","DRR302413"
-9.71180486799661,-16.8155275370652,"clf:AvrRpm1:0h","clf","AvrRpm1","0h","DRR302414"
43.8667201914072,-3.06893310781777,"clf:AvrRpm1:0.5h","clf","AvrRpm1","0.5h","DRR302416"
41.6187786378247,0.350392812134076,"clf:AvrRpm1:0.5h","clf","AvrRpm1","0.5h","DRR302417"
-24.6600004281725,19.8577568338471,"clf:AvrRpm1:3h","clf","AvrRpm1","3h","DRR302420"
-12.4955604744941,-5.77365520318182,"WT:mock:0h","WT","mock","0h","DRR302385"
-9.23553749710497,-2.32517965257457,"WT:mock:0h","WT","mock","0h","DRR302387"
-25.3641288639228,11.2691734066575,"WT:mock:3h","WT","mock","3h","DRR302391"
-33.8541700251072,2.07608140194835,"WT:mock:3h","WT","mock","3h","DRR302392"
-21.4607000399391,2.71611173666181,"WT:mock:3h","WT","mock","3h","DRR302393"
9.0905077344055,12.3312186232604,"WT:AvrRpm1:0h","WT","AvrRpm1","0h","DRR302394"
14.0838091900097,8.49267564678916,"WT:AvrRpm1:0h","WT","AvrRpm1","0h","DRR302395"
9.74791325987565,11.2680232574512,"WT:AvrRpm1:0h","WT","AvrRpm1","0h","DRR302396"
46.5271538837089,15.9012209988559,"WT:AvrRpm1:0.5h","WT","AvrRpm1","0.5h","DRR302398"
41.5478431919015,9.08661646619988,"WT:AvrRpm1:0.5h","WT","AvrRpm1","0.5h","DRR302399"
-21.5829359692558,28.3760666325282,"WT:AvrRpm1:3h","WT","AvrRpm1","3h","DRR302402"
-22.2208293679112,-25.4334617970719,"clf:mock:0h","clf","mock","0h","DRR302403"
-29.7560407709057,-39.283679096819,"clf:mock:0h","clf","mock","0h","DRR302404"
18.4716466044113,-33.881704236602,"clf:mock:0.5h","clf","mock","0.5h","DRR302406"
27.4016261886904,-26.5148458555892,"clf:mock:0.5h","clf","mock","0.5h","DRR302408"
-24.4475851703031,12.6013048617235,"clf:mock:3h","clf","mock","3h","DRR302409"
-27.9486373384102,13.5350994487447,"clf:AvrRpm1:3h","clf","AvrRpm1","3h","DRR302418"
-17.3090006142652,17.6105837832053,"clf:AvrRpm1:3h","clf","AvrRpm1","3h","DRR302419"
