"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G67070",49.4803711208944,-1.5755619595937,0.313552297126098,-5.02487774458903,5.03753339073799e-07,0.00168686843122252
"AT3G61060",127.599719325857,-1.22285834313158,0.253060089891281,-4.83228447305515,1.34975200454455e-06,0.00251098864578772
"AT3G55560",39.2719988293596,-1.19171445089373,0.253284246997521,-4.70504764911572,2.53806668243077e-06,0.00265592815399615
"AT4G38470",206.993199756586,-1.0452717288759,0.221874001988044,-4.71110503939182,2.46377201395389e-06,0.00265592815399615
"AT5G13400",140.757962415624,1.19134842011623,0.250851013492529,4.7492270552525,2.04195583734993e-06,0.00265592815399615
"AT5G50450",13.4596756614029,-1.86199569040201,0.395355205854712,-4.70967793727817,2.48108527791703e-06,0.00265592815399615
"AT5G59130",125.507994333736,1.34865569747664,0.285057350886694,4.73117319473268,2.23225962685705e-06,0.00265592815399615
"AT4G12390",20.8624179949567,-1.53435135973003,0.343802637468666,-4.4628842030622,8.08637579272777e-06,0.00650631245144812
"AT1G24470",15.6862743375097,1.33413530964123,0.302157005412331,4.41537110093023,1.00836851856958e-05,0.00672174664286616
"AT1G60610",23.1481730558521,-1.1615828967208,0.265048699294207,-4.38252630484119,1.17310996519443e-05,0.00672174664286616
"AT2G16630",192.458500461664,1.07213829597702,0.243481707540791,4.40336281031461,1.06585695018752e-05,0.00672174664286616
"AT4G37610",492.544891103983,-1.53217669195983,0.349122266269393,-4.38865360359903,1.14054565187854e-05,0.00672174664286616
"AT5G62430",182.552457050678,1.1367610904165,0.260219667016069,4.36846723943547,1.25121581488928e-05,0.00672174664286616
"AT5G21940",396.386494945125,-1.08047709862547,0.249522598927035,-4.33017731969609,1.48989320501842e-05,0.0073230349996405
"AT5G54610",812.063205978217,1.44872653841708,0.336474719593871,4.30560292959219,1.66531534802691e-05,0.00760742821486834
"AT5G47330",188.828626064415,1.55724128473811,0.364620312062404,4.27085719917761,1.94723067627181e-05,0.00835961108021
"AT5G41900",151.393568440279,1.49773521198906,0.354611337215311,4.22359652613045,2.40434323774286e-05,0.00981851678768991
"AT3G16050",50.389393517212,1.54453235903738,0.369359056985889,4.1816555728763,2.89394132413544e-05,0.0108757063687705
"AT4G14400",3542.57012117066,1.07739255764415,0.25778767156695,4.17937968520865,2.92305313620422e-05,0.0108757063687705
"AT3G15450",686.766463147408,-1.87136514985755,0.451990419458417,-4.14027614147188,3.4688798474051e-05,0.0113881284872752
"AT2G36830",2533.51006272074,1.21430007058158,0.295411056668501,4.11054374293183,3.94728490534507e-05,0.0122387761426283
"AT1G69890",172.78414665224,-1.22376302710892,0.299103636645739,-4.09143479775994,4.28712487341751e-05,0.0128177378135052
"AT1G49430",151.180479273251,1.12790415093631,0.276924411984569,4.07296757571218,4.64178885233329e-05,0.0133995639232097
"AT3G09450",88.2620149812709,1.81230982599627,0.446805249922661,4.05615159246666,4.98878874988233e-05,0.0139212150065466
"AT5G45920",10.971893758601,1.49129569166678,0.369521555940807,4.03574748939861,5.44287305634488e-05,0.0149393481282594
"AT5G23350",20.2151090009542,-1.16150081007066,0.290201015342244,-4.00240091751873,6.2702929563826e-05,0.0164036742138615
"AT5G16190",18.2537542744729,-1.61715391828769,0.407686271572471,-3.96666267924654,7.28860330837729e-05,0.0182138933122628
"AT4G04610",158.708714911613,-1.20465298054916,0.305617207173242,-3.94170534994219,8.09043268194896e-05,0.0190786076611086
"AT1G02205",101.392973900241,2.48294149125149,0.635327774864675,3.90812678035421,9.30144960896549e-05,0.0203328773136197
"AT1G19960",142.063879892507,1.4065963457443,0.359476450638478,3.91290262059168,9.11933157629103e-05,0.0203328773136197
"AT5G65080",18.8985293874135,-1.90437281525363,0.485962197809355,-3.91876739350973,8.90029548501188e-05,0.0203328773136197
"AT1G61490",33.3211597679915,-1.41656478308557,0.363166390721063,-3.90059438119535,9.59568073975106e-05,0.0205974977725195
"AT2G32530",101.36996184315,1.28748334289014,0.33158869885006,3.88277208286982,0.000103272358158091,0.0208571701901844
"AT5G16230",45.398701407578,-1.33432883601255,0.343643989555971,-3.88288134396491,0.000103225947335579,0.0208571701901844
"AT5G58310",14.3995841715012,2.44556891730408,0.629107405027588,3.88736310804804,0.000101339104256397,0.0208571701901844
"AT1G01010",155.46364277571,1.04914852054931,0.270569720042464,3.87755333591893,0.000105512201387102,0.0210308427121934
"AT4G15490",173.445267332498,1.02106988058411,0.26678333507069,3.82733756706937,0.000129536811103866,0.0246458503217276
"AT5G65207",38.1568414900162,-1.07897459788027,0.286224160663491,-3.76968385680342,0.000163454461801711,0.02880755846259
"AT4G21870",48.2280784688376,-1.63460131092649,0.43406217731637,-3.76582295428864,0.000166001395662558,0.028951680912273
"AT5G22920",86.7701033336391,-1.37766257408919,0.367006922718188,-3.75377816823103,0.00017418903053873,0.0300664632815459
"AT3G20470",94.8954703257643,1.36108226962574,0.365863805820968,3.72018835416525,0.000199074255275311,0.0326774534909268
"AT1G66080",50.077952812962,1.26048327372233,0.340042731920104,3.70683786300861,0.000209863203318341,0.0334641867919904
"AT1G23170",93.6763186614065,1.21450726576126,0.328173653044495,3.70080673598922,0.000214915117838411,0.033553784752296
"AT4G30650",314.297518482186,1.08061547182452,0.292756008394441,3.69118119129623,0.00022321505198753,0.033553784752296
"AT5G41690",17.282758428375,-1.0885446400972,0.294944932136329,-3.69067077102396,0.000223663472400325,0.033553784752296
"AT2G20670",107.419699355745,-1.03749287683603,0.285922708321377,-3.62857809695162,0.000284986541827847,0.0394341295026747
"AT4G35770",101.289851125712,-1.83819586586153,0.510183753115754,-3.60300745493255,0.000314556503428542,0.0428180450154803
"AT2G30600",424.284698324174,-1.04226355152374,0.290857633715506,-3.58341480747657,0.000339131405463984,0.0443599775131522
"AT3G57520",641.564956670568,-1.35817248540899,0.378683345748296,-3.58656513590577,0.000335062398463117,0.0443599775131522
"AT1G25400",329.360292151767,-1.20773165457073,0.340581542550848,-3.54608663031238,0.00039099764632815,0.0461944735196263
"AT2G47485",44.9437751583681,1.25789112591852,0.354044868544459,3.55291444016668,0.000380988359063738,0.0461944735196263
"AT5G37300",24.6819503361379,2.24953135417091,0.632673043779093,3.55559854539396,0.000377119555766118,0.0461944735196263
"AT1G20070",365.637176120642,1.35962487776838,0.383878480770855,3.54181061422916,0.000397390677826115,0.0465280567751234
"AT1G11100",47.1142210889715,1.63709605304287,0.46258270553783,3.53903428174962,0.000401593696001995,0.046636949653267
"AT3G15630",115.611834031081,-1.24381182672017,0.351604818657389,-3.53752781736524,0.0004038916382801,0.046636949653267
"AT4G28020",10.9506910663679,-1.23892958748562,0.351643994313856,-3.52324967159778,0.000426289579768473,0.0475824428937569
